=== S4.2 SCAN (stcp-cross-platform-001 / p0-07) ===
Path     : E:\My Github Projects\SystemTools\Actions
Scope    : Source
Time(UTC): 2026-09-03T15:59:43Z
[HIT-GATE] AdjustScreenBrightnessAction.cs | R07 | :5: | using System.Management;
[HIT-GATE] ClickSimulationAction.cs | X04 | :52: | [DllImport("user32.dll")] private static extern void mouse_event(uint dwFlags, int dx, int dy, uint dwData, UIntPtr dwExtraInfo);
[INFO] ClickSimulationAction.cs | I02 | :52: | [DllImport("user32.dll")] private static extern void mouse_event(uint dwFlags, int dx, int dy, uint dwData, UIntPtr dwExtraInfo);
[HIT-GATE] CloneDisplayAction.cs | R18 | :30: | FileName = "DisplaySwitch.exe",
[HIT-GATE] CloneDisplayAction.cs | R18 | :53: | throw new Exception("无法启动 DisplaySwitch.exe 进程");
[HIT-GATE] CopyAction.cs | R15 | :30: | FileName = "cmd.exe",
[HIT-GATE] CopyAction.cs | R16 | :96: | psi.FileName = "robocopy.exe";
[HIT-GATE] CtrlZAction.cs | R01 | :7: | using Windows.Win32;
[HIT-GATE] CtrlZAction.cs | R02 | :26: | PInvoke.keybd_event(VK_CONTROL, 0, 0, UIntPtr.Zero);
[INFO] CtrlZAction.cs | I01 | :26: | PInvoke.keybd_event(VK_CONTROL, 0, 0, UIntPtr.Zero);
[HIT-GATE] CtrlZAction.cs | R02 | :30: | PInvoke.keybd_event(VK_Z, 0, 0, UIntPtr.Zero);
[INFO] CtrlZAction.cs | I01 | :30: | PInvoke.keybd_event(VK_Z, 0, 0, UIntPtr.Zero);
[HIT-GATE] CtrlZAction.cs | R02 | :34: | PInvoke.keybd_event(VK_Z, 0, Windows.Win32.UI.Input.KeyboardAndMouse.KEYBD_EVENT_FLAGS.KEYEVENTF_KEYUP,
[INFO] CtrlZAction.cs | I01 | :34: | PInvoke.keybd_event(VK_Z, 0, Windows.Win32.UI.Input.KeyboardAndMouse.KEYBD_EVENT_FLAGS.KEYEVENTF_KEYUP,
[HIT-GATE] CtrlZAction.cs | R02 | :39: | PInvoke.keybd_event(VK_CONTROL, 0, Windows.Win32.UI.Input.KeyboardAndMouse.KEYBD_EVENT_FLAGS.KEYEVENTF_KEYUP,
[INFO] CtrlZAction.cs | I01 | :39: | PInvoke.keybd_event(VK_CONTROL, 0, Windows.Win32.UI.Input.KeyboardAndMouse.KEYBD_EVENT_FLAGS.KEYEVENTF_KEYUP,
[HIT-GATE] DeleteAction.cs | R15 | :29: | FileName = "cmd.exe",
[INFO] DisableDeviceAction.cs | I10 | :49: | string ps1Content = $@"$device = Get-PnpDevice | Where-Object {{$_.InstanceId -eq ""{deviceId}""}}
[INFO] DisableDeviceAction.cs | I10 | :52: | Disable-PnpDevice -InstanceId $device.InstanceId -Confirm:$false
